survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,male,20,1,1,15.7417,Third,unknown,Cherbourg,n
0,male,61,0,0,32.3208,First,D,Southampton,y
0,male,57,0,0,12.35,Second,unknown,Queenstown,y
1,female,21,0,0,77.9583,First,D,Southampton,y
0,male,26,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,7.7333,Third,unknown,Queenstown,y
1,male,80,0,0,30,First,A,Southampton,y
0,male,51,0,0,7.0542,Third,unknown,Southampton,y
1,male,32,0,0,30.5,First,B,Cherbourg,y
0,female,9,3,2,27.9,Third,unknown,Southampton,n
1,female,28,0,0,13,Second,unknown,Southampton,y
0,male,32,0,0,7.925,Third,unknown,Southampton,y
0,female,41,0,5,39.6875,Third,unknown,Southampton,n
0,male,28,1,0,16.1,Third,unknown,Southampton,n
0,male,20,0,0,7.8542,Third,unknown,Southampton,y
1,male,28,0,0,56.4958,Third,unknown,Southampton,y
1,female,0.75,2,1,19.2583,Third,unknown,Cherbourg,n
1,male,48,1,0,76.7292,First,D,Cherbourg,n
0,male,28,0,0,7.55,Third,unknown,Southampton,y
1,female,23,0,0,7.55,Third,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
1,female,18,0,1,23,Second,unknown,Southampton,n
0,male,21,0,0,8.4333,Third,unknown,Southampton,y
0,male,24,2,0,73.5,Second,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,female,32,1,1,15.5,Third,unknown,Queenstown,n
1,male,50,2,0,133.65,First,unknown,Southampton,n
0,male,47,0,0,25.5875,First,E,Southampton,y
0,male,36,0,0,7.4958,Third,unknown,Southampton,y
1,male,20,1,0,7.925,Third,unknown,Southampton,n
0,male,25,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,7.775,Third,unknown,Southampton,y
0,male,43,0,0,8.05,Third,unknown,Southampton,y
1,female,40,1,1,39,Second,unknown,Southampton,n
0,male,31,1,0,52,First,B,Southampton,n
1,male,31,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,0,Second,unknown,Southampton,y
0,male,18,0,0,7.775,Third,unknown,Southampton,y
1,female,18,0,0,9.8417,Third,unknown,Southampton,y
1,male,36,0,1,512.3292,First,B,Cherbourg,n
1,male,27,0,0,76.7292,First,D,Cherbourg,y
0,male,20,0,0,9.225,Third,unknown,Southampton,y
0,male,14,5,2,46.9,Third,unknown,Southampton,n
0,male,60,1,1,39,Second,unknown,Southampton,n
0,male,19,0,0,10.1708,Third,unknown,Southampton,y
0,male,18,0,0,7.7958,Third,unknown,Southampton,y
1,female,15,0,1,211.3375,First,B,Southampton,n
1,male,31,1,0,57,First,B,Southampton,n
1,female,4,0,1,13.4167,Third,unknown,Cherbourg,n
1,male,28,0,0,56.4958,Third,unknown,Southampton,y
0,male,60,0,0,26.55,First,unknown,Southampton,y
1,female,28,0,0,7.7333,Third,unknown,Queenstown,y
0,male,49,1,1,110.8833,First,C,Cherbourg,n
1,male,35,0,0,26.2875,First,E,Southampton,y
0,male,25,0,0,7.7417,Third,unknown,Queenstown,y
0,male,39,0,0,26,Second,unknown,Southampton,y
1,female,22,0,0,151.55,First,unknown,Southampton,y
1,male,28,1,1,15.2458,Third,unknown,Cherbourg,n
1,female,24,0,0,49.5042,First,C,Cherbourg,y
0,male,28,0,0,26.55,First,C,Southampton,y
1,male,48,1,0,52,First,C,Southampton,n
0,male,29,0,0,9.4833,Third,unknown,Southampton,y
0,male,19,0,0,7.65,Third,F,Southampton,y
1,female,38,0,0,227.525,First,C,Cherbourg,y
1,female,27,0,0,10.5,Second,E,Southampton,y
0,male,28,0,0,15.5,Third,unknown,Queenstown,y
0,male,33,0,0,7.775,Third,unknown,Southampton,y
1,female,6,0,1,33,Second,unknown,Southampton,n
0,male,50,0,0,13,Second,unknown,Southampton,y
1,male,27,1,0,53.1,First,E,Southampton,n
1,female,30,3,0,21,Second,unknown,Southampton,n
0,male,25,1,0,26,Second,unknown,Southampton,n
0,female,25,1,0,7.925,Third,unknown,Southampton,n
1,female,29,0,0,211.3375,First,B,Southampton,y
0,male,11,0,0,18.7875,Third,unknown,Cherbourg,y
0,male,28,0,0,0,Second,unknown,Southampton,y
0,male,23,0,0,13,Second,unknown,Southampton,y
0,male,23,0,0,13,Second,unknown,Southampton,y
1,male,35,0,0,512.3292,First,B,Cherbourg,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,36,1,0,78.85,First,C,Southampton,n
1,female,21,2,2,262.375,First,B,Cherbourg,n
0,male,24,1,0,16.1,Third,unknown,Southampton,n
0,male,70,1,1,71,First,B,Southampton,n
1,female,4,1,1,23,Second,unknown,Southampton,n
1,male,6,0,1,12.475,Third,E,Southampton,n
0,male,33,0,0,9.5,Third,unknown,Southampton,y
0,male,23,0,0,7.8958,Third,unknown,Southampton,y
1,female,48,1,2,65,Second,unknown,Southampton,n
0,male,28,0,0,7.7958,Third,unknown,Southampton,y
0,male,34,0,0,8.05,Third,unknown,Southampton,y
0,male,28,0,0,14.5,Third,unknown,Southampton,y
0,male,41,0,0,7.125,Third,unknown,Southampton,y
1,male,20,0,0,7.2292,Third,unknown,Cherbourg,y
1,female,51,1,0,77.9583,First,D,Southampton,n
0,male,28,0,0,39.6,First,unknown,Cherbourg,y
0,male,28,1,0,24.15,Third,unknown,Queenstown,n
0,male,32,0,0,8.3625,Third,unknown,Southampton,y
0,male,48,0,0,7.8542,Third,unknown,Southampton,y
0,female,57,0,0,10.5,Second,E,Southampton,y
0,male,18,0,0,7.75,Third,unknown,Southampton,y
0,male,28,0,0,7.75,Third,F,Queenstown,y
1,female,5,0,0,12.475,Third,unknown,Southampton,y
1,female,17,1,0,57,First,B,Southampton,n
0,male,29,0,0,30,First,D,Southampton,y
0,male,28,1,2,23.45,Third,unknown,Southampton,n
0,male,25,0,0,7.05,Third,unknown,Southampton,y
1,male,1,1,2,20.575,Third,unknown,Southampton,n
0,male,46,0,0,79.2,First,B,Cherbourg,y
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,16,0,0,26,Second,unknown,Southampton,y
0,female,28,8,2,69.55,Third,unknown,Southampton,n
0,male,28,0,0,30.6958,First,unknown,Cherbourg,y
0,male,25,0,0,7.8958,Third,unknown,Southampton,y
0,male,39,0,0,13,Second,unknown,Southampton,y
1,female,49,0,0,25.9292,First,D,Southampton,y
1,female,31,0,0,8.6833,Third,unknown,Southampton,y
0,male,30,0,0,7.2292,Third,unknown,Cherbourg,y
0,female,30,1,1,24.15,Third,unknown,Southampton,n
0,male,34,0,0,13,Second,unknown,Southampton,y
1,female,31,1,1,26.25,Second,unknown,Southampton,n
1,male,11,1,2,120,First,B,Southampton,n
0,male,31,0,0,7.775,Third,unknown,Southampton,y
0,male,39,0,0,0,First,A,Southampton,y
0,male,39,0,0,13,Second,unknown,Southampton,y
1,female,33,1,0,53.1,First,E,Southampton,n
0,male,26,0,0,7.8875,Third,unknown,Southampton,y
0,male,39,0,0,24.15,Third,unknown,Southampton,y
0,male,35,0,0,10.5,Second,unknown,Southampton,y
0,male,30.5,0,0,8.05,Third,unknown,Southampton,y
0,male,28,0,0,0,First,B,Southampton,y
0,female,23,0,0,7.925,Third,unknown,Southampton,y
0,male,31,1,1,37.0042,Second,unknown,Cherbourg,n
0,male,10,3,2,27.9,Third,unknown,Southampton,n
1,female,52,1,1,93.5,First,B,Southampton,n
1,male,27,0,0,8.6625,Third,unknown,Southampton,y
0,male,2,4,1,39.6875,Third,unknown,Southampton,n
0,male,28,0,0,6.95,Third,unknown,Queenstown,y
0,male,28,0,0,56.4958,Third,unknown,Southampton,y
1,male,28,0,0,7.75,Third,unknown,Queenstown,y
1,female,15,1,0,14.4542,Third,unknown,Cherbourg,n
0,male,28,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,23,0,0,7.8542,Third,unknown,Southampton,y
0,male,18,0,0,8.3,Third,unknown,Southampton,y
1,female,39,1,1,83.1583,First,E,Cherbourg,n
0,male,21,0,0,8.6625,Third,unknown,Southampton,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
1,male,28,0,0,29.7,First,C,Cherbourg,y
0,male,16,0,0,10.5,Second,unknown,Southampton,y
1,female,30,0,0,31,First,unknown,Cherbourg,y
0,male,34.5,0,0,6.4375,Third,unknown,Cherbourg,y
0,male,42,0,0,7.55,Third,unknown,Southampton,y
0,male,28,8,2,69.55,Third,unknown,Southampton,n
0,male,35,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28,0,1,33,Second,unknown,Southampton,n
1,female,28,1,0,89.1042,First,C,Cherbourg,n
0,male,4,4,2,31.275,Third,unknown,Southampton,n
1,female,16,0,1,39.4,First,D,Southampton,n
1,female,18,0,1,9.35,Third,unknown,Southampton,n
1,female,45,1,1,164.8667,First,unknown,Southampton,n
1,male,51,0,0,26.55,First,E,Southampton,y
1,female,24,0,3,19.2583,Third,unknown,Cherbourg,n
0,male,41,2,0,14.1083,Third,unknown,Southampton,n
0,male,24,0,0,13,Second,unknown,Southampton,y
1,female,42,0,0,13,Second,unknown,Southampton,y
1,female,27,1,0,13.8583,Second,unknown,Cherbourg,n
0,male,31,0,0,50.4958,First,A,Southampton,y
1,male,4,1,1,11.1333,Third,unknown,Southampton,n
0,male,26,0,0,7.8958,Third,unknown,Southampton,y
1,female,47,1,1,52.5542,First,D,Southampton,n
0,male,33,0,0,5,First,B,Southampton,y
0,male,47,0,0,9,Third,unknown,Southampton,y
1,female,28,1,0,24,Second,unknown,Cherbourg,n
1,female,15,0,0,7.225,Third,unknown,Cherbourg,y
0,male,20,0,0,9.8458,Third,unknown,Southampton,y
0,male,19,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,female,22,0,0,10.5167,Third,unknown,Southampton,y
0,male,28,0,0,10.5,Second,unknown,Southampton,y
0,male,25,0,0,7.05,Third,unknown,Southampton,y
1,female,19,0,0,30,First,B,Southampton,y
0,female,28,1,2,23.45,Third,unknown,Southampton,n
0,male,32,0,0,7.75,Third,unknown,Queenstown,y
0,male,35,0,0,8.05,Third,unknown,Southampton,y
0,male,54,0,0,51.8625,First,E,Southampton,y
1,female,58,0,0,26.55,First,C,Southampton,y
1,female,55,0,0,16,Second,unknown,Southampton,y
1,male,34,0,0,13,Second,D,Southampton,y
1,female,15,0,0,8.0292,Third,unknown,Queenstown,y
0,female,8,3,1,21.075,Third,unknown,Southampton,n
0,male,21,0,0,8.05,Third,unknown,Southampton,y
0,female,18,2,0,18,Third,unknown,Southampton,n
1,female,19,0,0,7.8792,Third,unknown,Queenstown,y
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,21,0,0,7.8,Third,unknown,Southampton,y
1,female,5,1,2,27.75,Second,unknown,Southampton,n
0,male,28,0,0,27.7208,First,unknown,Cherbourg,y
1,female,29,0,0,10.5,Second,F,Southampton,y
0,female,16,5,2,46.9,Third,unknown,Southampton,n
0,male,26,1,0,14.4542,Third,unknown,Cherbourg,n
1,female,17,0,0,10.5,Second,unknown,Southampton,y
1,female,33,3,0,15.85,Third,unknown,Southampton,n
0,male,29,0,0,8.05,Third,unknown,Southampton,y
0,male,20,0,0,7.8542,Third,unknown,Southampton,y
0,male,26,1,2,20.575,Third,unknown,Southampton,n
1,female,21,0,0,7.65,Third,unknown,Southampton,y
0,male,38,0,0,7.8958,Third,unknown,Southampton,y
0,female,20,1,0,9.825,Third,unknown,Southampton,n
0,female,2,4,2,31.275,Third,unknown,Southampton,n
0,male,21,2,0,73.5,Second,unknown,Southampton,n
0,male,54,0,1,77.2875,First,D,Southampton,n
1,male,12,1,0,11.2417,Third,unknown,Cherbourg,n
1,female,28,1,1,22.3583,Third,F,Cherbourg,n
0,male,33,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,29,1,0,26,Second,unknown,Southampton,n
0,male,25,0,0,13,Second,unknown,Southampton,y
1,female,24,1,0,15.85,Third,unknown,Southampton,n
0,male,19,1,1,36.75,Second,unknown,Southampton,n
1,male,27,0,0,7.7958,Third,unknown,Southampton,y
0,male,36.5,0,2,26,Second,F,Southampton,n
0,male,42,0,0,13,Second,unknown,Southampton,y
1,female,22,1,0,66.6,First,C,Southampton,n
0,male,30,0,0,8.05,Third,unknown,Southampton,y
1,female,40,0,0,15.75,Second,unknown,Southampton,y
1,male,9,0,2,20.525,Third,unknown,Southampton,n
0,female,45,1,4,27.9,Third,unknown,Southampton,n
0,male,28,0,0,25.925,First,unknown,Southampton,y
0,male,61,0,0,33.5,First,B,Southampton,y
1,female,1,1,1,11.1333,Third,unknown,Southampton,n
0,male,21,0,0,7.925,Third,unknown,Southampton,y
0,male,56,0,0,30.6958,First,A,Cherbourg,y
1,male,1,2,1,39,Second,F,Southampton,n
0,male,28,0,0,50,First,A,Southampton,y
0,male,40,1,1,15.5,Third,unknown,Queenstown,n
0,male,19,0,0,13,Second,unknown,Southampton,y
0,male,42,0,1,8.4042,Third,unknown,Southampton,n
0,male,45.5,0,0,7.225,Third,unknown,Cherbourg,y
1,male,18,0,0,8.05,Third,unknown,Southampton,y
0,male,24,0,0,7.05,Third,unknown,Southampton,y
0,male,30,0,0,13,Second,unknown,Southampton,y
1,female,32,0,0,76.2917,First,D,Cherbourg,y
0,male,27,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
1,male,38,1,0,90,First,C,Southampton,n
1,female,5,4,2,31.3875,Third,unknown,Southampton,n
0,male,24,0,0,10.5,Second,unknown,Southampton,y
1,female,8,0,2,26.25,Second,unknown,Southampton,n
0,male,29,0,0,10.5,Second,unknown,Southampton,y
0,female,25,0,0,7.775,Third,unknown,Southampton,y
1,male,37,1,1,52.5542,First,D,Southampton,n
0,male,54,1,0,26,Second,unknown,Southampton,n
0,male,62,0,0,26.55,First,C,Southampton,y
1,female,29,0,2,15.2458,Third,unknown,Cherbourg,n
1,female,30,0,0,86.5,First,B,Southampton,y
0,male,52,1,1,79.65,First,E,Southampton,n
0,male,65,0,0,7.75,Third,unknown,Queenstown,y
1,male,19,0,0,8.05,Third,unknown,Southampton,y
0,male,33,0,0,8.6625,Third,unknown,Cherbourg,y
1,male,30,0,0,9.5,Third,unknown,Southampton,y
0,male,22,0,0,7.8958,Third,unknown,Southampton,y
1,male,42,0,0,13,Second,unknown,Southampton,y
1,female,22,0,0,7.75,Third,unknown,Queenstown,y
1,female,19,1,0,91.0792,First,B,Cherbourg,n
0,female,24,0,0,8.85,Third,unknown,Southampton,y
0,male,28,0,0,27.7208,First,unknown,Cherbourg,y
0,male,23.5,0,0,7.2292,Third,unknown,Cherbourg,y
0,female,2,1,2,151.55,First,C,Southampton,n
1,male,28,2,0,23.25,Third,unknown,Queenstown,n
1,male,0.92,1,2,151.55,First,C,Southampton,n
1,female,26,0,0,7.8542,Third,unknown,Southampton,y
0,male,54,0,0,14,Second,unknown,Southampton,y
1,female,30,0,0,12.35,Second,unknown,Queenstown,y
1,female,36,0,0,13,Second,D,Southampton,y
1,female,16,0,1,57.9792,First,B,Cherbourg,n
0,male,45.5,0,0,28.5,First,C,Southampton,y
0,male,16,2,0,18,Third,unknown,Southampton,n
1,female,41,0,0,134.5,First,E,Cherbourg,y
1,male,2,1,1,26,Second,F,Southampton,n
1,female,24,3,2,263,First,C,Southampton,n
1,male,3,1,1,15.9,Third,unknown,Southampton,n
0,male,42,0,0,8.6625,Third,unknown,Southampton,y
0,male,23,0,0,9.225,Third,unknown,Southampton,y
0,male,28,0,0,35,First,C,Southampton,y
0,male,30,0,0,7.25,Third,unknown,Southampton,y
1,male,25,1,0,55.4417,First,E,Cherbourg,n
0,male,22,0,0,135.6333,First,unknown,Cherbourg,y
0,female,3,3,1,21.075,Third,unknown,Southampton,n
1,female,22,0,0,7.25,Third,unknown,Southampton,y
0,male,20,0,0,4.0125,Third,unknown,Cherbourg,y
1,female,1,0,2,15.7417,Third,unknown,Cherbourg,n
1,female,35,1,0,52,First,unknown,Southampton,n
1,female,36,0,0,13,Second,unknown,Southampton,y
0,male,28,2,0,7.925,Third,unknown,Southampton,n
1,female,28,0,0,12.65,Second,unknown,Southampton,y
0,female,21,1,0,9.825,Third,unknown,Southampton,n
0,female,20,0,0,8.6625,Third,unknown,Southampton,y
0,male,51,0,0,7.75,Third,unknown,Southampton,y
1,female,33,1,0,90,First,C,Queenstown,n
0,female,10,0,2,24.15,Third,unknown,Southampton,n
0,male,29,0,0,7.875,Third,unknown,Southampton,y
0,female,28,1,1,14.4,Third,unknown,Southampton,n
0,male,28,0,0,7.25,Third,unknown,Southampton,y
1,female,28,1,0,26,Second,unknown,Southampton,n
0,female,21,2,2,34.375,Third,unknown,Southampton,n
0,male,25,1,0,7.775,Third,unknown,Southampton,n
1,male,4,0,2,81.8583,First,A,Southampton,n
1,female,13,0,1,19.5,Second,unknown,Southampton,n
0,male,28,1,0,19.9667,Third,unknown,Southampton,n
0,male,28,0,0,8.05,Third,unknown,Southampton,y
1,female,50,0,0,10.5,Second,unknown,Southampton,y
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,48,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,0,Second,unknown,Southampton,y
0,male,38,0,0,8.6625,Third,unknown,Southampton,y
0,female,22,0,0,9.8375,Third,unknown,Southampton,y
0,male,22,0,0,7.5208,Third,unknown,Southampton,y
0,male,50,0,0,8.05,Third,unknown,Southampton,y
0,male,30,0,0,8.05,Third,unknown,Southampton,y
0,male,21,0,0,7.25,Third,unknown,Southampton,y
0,male,55,0,0,30.5,First,C,Southampton,y
0,male,28,0,0,14.4583,Third,unknown,Cherbourg,y
1,female,54,1,0,78.2667,First,D,Cherbourg,n
0,male,28,0,0,15.1,Third,unknown,Southampton,y
0,male,24,0,0,7.7958,Third,unknown,Southampton,y
0,female,28,0,0,7.6292,Third,unknown,Queenstown,y
1,female,16,0,0,86.5,First,B,Southampton,y
0,male,28,0,0,22.525,Third,unknown,Southampton,y
1,male,29,0,0,7.75,Third,unknown,Queenstown,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
1,male,36,0,0,26.2875,First,E,Southampton,y
0,male,28,0,0,24.15,Third,unknown,Queenstown,y
0,male,28,0,0,7.225,Third,unknown,Cherbourg,y
0,male,39,0,0,7.925,Third,unknown,Southampton,y
0,male,28,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,28,0,0,14.5,Third,unknown,Southampton,y
1,male,32,1,0,26,Second,unknown,Southampton,n
0,male,64,0,0,26,First,unknown,Southampton,y
1,male,8,1,1,36.75,Second,unknown,Southampton,n
1,male,22,0,0,7.225,Third,unknown,Cherbourg,y
0,male,62,0,0,26.55,First,unknown,Southampton,y
0,male,28,0,0,13.5,Second,unknown,Southampton,y
0,female,28,0,0,8.05,Third,unknown,Southampton,y
0,male,28,0,0,7.2292,Third,unknown,Cherbourg,y
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,19,0,0,14.5,Third,unknown,Southampton,y
1,female,39,1,0,55.9,First,E,Southampton,n
0,female,28,1,0,14.4583,Third,unknown,Cherbourg,n
1,male,32,0,0,7.925,Third,unknown,Southampton,y
1,female,39,1,1,110.8833,First,C,Cherbourg,n
0,male,54,0,0,26,Second,unknown,Southampton,y
0,male,28,0,0,8.7125,Third,unknown,Cherbourg,y
1,female,18,0,2,79.65,First,E,Southampton,n
0,male,22,0,0,8.05,Third,unknown,Southampton,y
1,female,24,2,1,27,Second,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,42.4,First,unknown,Southampton,y
0,male,44,0,0,8.05,Third,unknown,Southampton,y
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
0,female,26,1,0,16.1,Third,unknown,Southampton,n
1,female,4,2,1,39,Second,F,Southampton,n
0,male,27,1,0,14.4542,Third,unknown,Cherbourg,n
1,male,42,1,0,52.5542,First,D,Southampton,n
0,male,21,0,0,7.8542,Third,unknown,Southampton,y
0,male,21,0,0,16.1,Third,unknown,Southampton,y
0,male,28,0,0,0,First,unknown,Southampton,y
0,male,31,1,1,26.25,Second,unknown,Southampton,n
1,female,24,0,0,69.3,First,B,Cherbourg,y
0,female,2,3,2,27.9,Third,unknown,Southampton,n
0,male,19,0,0,7.8958,Third,unknown,Southampton,y
1,male,56,0,0,35.5,First,A,Cherbourg,y
1,female,28,0,0,7.8292,Third,unknown,Queenstown,y
0,female,18,0,0,6.75,Third,unknown,Queenstown,y
0,male,23,0,0,13,Second,unknown,Southampton,y
0,male,58,0,2,113.275,First,D,Cherbourg,n
0,male,40,0,0,7.225,Third,unknown,Cherbourg,y
0,male,32,2,0,73.5,Second,unknown,Southampton,n
1,female,28,1,0,52,First,C,Southampton,n
0,male,70,0,0,10.5,Second,unknown,Southampton,y
0,male,24.5,0,0,8.05,Third,unknown,Southampton,y
0,female,43,1,6,46.9,Third,unknown,Southampton,n
0,female,28,0,0,8.1375,Third,unknown,Queenstown,y
0,male,25,1,2,41.5792,Second,unknown,Cherbourg,n
0,male,14,4,1,39.6875,Third,unknown,Southampton,n
0,male,25,0,0,7.225,Third,unknown,Cherbourg,y
0,male,52,0,0,13.5,Second,unknown,Southampton,y
0,male,44,0,0,8.05,Third,unknown,Southampton,y
0,male,42,0,0,7.65,Third,F,Southampton,y
1,female,18,1,0,227.525,First,C,Cherbourg,n
0,female,18,0,1,14.4542,Third,unknown,Cherbourg,n
0,male,26,1,0,7.8542,Third,unknown,Southampton,n
1,female,45,0,0,13.5,Second,unknown,Southampton,y
1,male,42,0,0,26.2875,First,E,Southampton,y
0,male,52,0,0,13,Second,unknown,Southampton,y
0,male,17,1,0,7.0542,Third,unknown,Southampton,n
0,male,34,0,0,13,Second,unknown,Southampton,y
0,male,20,0,0,8.6625,Third,unknown,Southampton,y
1,female,28,0,0,7.7375,Third,unknown,Queenstown,y
0,male,28.5,0,0,16.1,Third,unknown,Southampton,y
0,female,48,1,3,34.375,Third,unknown,Southampton,n
1,male,28,0,0,30,First,D,Southampton,y
1,male,31,0,0,7.925,Third,unknown,Southampton,y
0,male,16,1,1,20.25,Third,unknown,Southampton,n
1,female,30,0,0,13,Second,unknown,Southampton,y
0,male,19,1,0,53.1,First,D,Southampton,n
0,male,31,0,0,7.75,Third,unknown,Queenstown,y
1,male,0.67,1,1,14.5,Second,unknown,Southampton,n
0,male,18,0,0,11.5,Second,unknown,Southampton,y
1,female,33,0,0,86.5,First,B,Southampton,y
1,female,36,1,2,120,First,B,Southampton,n
0,male,16,0,0,7.775,Third,unknown,Southampton,y
0,female,30.5,0,0,7.75,Third,unknown,Queenstown,y
0,male,24,0,0,9.5,Third,unknown,Southampton,y
0,male,28,0,0,7.225,Third,unknown,Cherbourg,y
1,female,54,1,3,23,Second,unknown,Southampton,n
0,male,28,0,0,7.7375,Third,unknown,Queenstown,y
1,female,43,0,1,211.3375,First,B,Southampton,n
1,female,13,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,25,0,0,7.25,Third,unknown,Southampton,y
1,female,18,0,0,7.4958,Third,unknown,Southampton,y
0,male,8,4,1,29.125,Third,unknown,Queenstown,n
1,male,0.42,0,1,8.5167,Third,unknown,Cherbourg,n
1,male,27,0,0,6.975,Third,unknown,Southampton,y
0,female,18,0,0,7.775,Third,unknown,Southampton,y
0,female,6,4,2,31.275,Third,unknown,Southampton,n
0,male,43,0,0,6.45,Third,unknown,Southampton,y
0,male,38,0,0,0,First,unknown,Southampton,y
1,female,27,0,1,12.475,Third,E,Southampton,n
1,male,1,0,2,37.0042,Second,unknown,Cherbourg,n
1,female,62,0,0,80,First,B,unknown,y
1,male,0.83,1,1,18.75,Second,unknown,Southampton,n
1,male,32,0,0,56.4958,Third,unknown,Southampton,y
0,male,20,0,0,7.925,Third,unknown,Southampton,y
0,male,17,0,0,8.6625,Third,unknown,Southampton,y
0,male,74,0,0,7.775,Third,unknown,Southampton,y
0,female,9,1,1,15.2458,Third,unknown,Cherbourg,n
0,female,44,1,0,26,Second,unknown,Southampton,n
0,male,28,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,21,1,0,11.5,Second,unknown,Southampton,n
1,female,48,0,0,25.9292,First,D,Southampton,y
0,female,28,8,2,69.55,Third,unknown,Southampton,n
0,male,28,0,0,9.5,Third,unknown,Southampton,y
1,female,56,0,1,83.1583,First,C,Cherbourg,n
1,female,25,0,1,26,Second,unknown,Southampton,n
0,male,33,0,0,7.8958,Third,unknown,Southampton,y
0,female,39,0,5,29.125,Third,unknown,Queenstown,n
0,male,27,0,0,13,Second,unknown,Southampton,y
1,male,26,0,0,30,First,C,Cherbourg,y
